CS?,Spec Name,Spec Type,Attribute Path,Attribute Type,PK?,Idx?,Lcl?,Lnk?,Min,Max,Edit?,NP?,Default,Length,Hidden?,RULE,fr_FR DisplayName

,Dummy_File_Spec,FILE_SPEC,Dummy,STRING,no,no,no,,0,1,yes,,,20,no,,Dummy file spec,Dummy
,Dummy_Spec,PRIMARY_SPEC,Code,STRING,yes,yes,,,1,1,,,,100,,,Code,Code
,ExportDest,MKT_SPEC,Dummy,STRING,no,no,no,,0,1,yes,,,20,no,,Dummy export spec,Dummy

,SpecHier_000_Generique,PRIMARY_SPEC,Clé,SEQUENCE,yes,yes,,,,,no,,,10,,,"Clé"
,SpecHier_000_Generique,PRIMARY_SPEC,Libellé,STRING,,yes,,,,,yes,,,100,,,"Libellé"

,SpecHier_AgentID,PRIMARY_SPEC,ID_AGENT,STRING,,,,,,,no,,,80,,,"ID_AGENT"

,SpecHier_AgentNOM,PRIMARY_SPEC,NOM,STRING,,,,,,,no,,,80,,,"NOM"

,SpecInutilisee,SCRIPT_INPUT_SPEC,INUTILISE,STRING_ENUMERATION,,,,,,1,,,,3000,,"STRING_ENUMERATION_RULE|res.add(""Inutilisé"");","Inutilisé"

,SpecCtg_NewRef_Agent,PRIMARY_SPEC,ID_AGENT,STRING,yes,yes,,,,,yes,,,80,,,"Identifiant Agent"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,NOM,STRING,,yes,,,,,,,,80,,,"Nom"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,PRENOM,STRING,,yes,,,,,,,,80,,,"Prénom"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,REGIME_TRAVAIL,STRING,,yes,,,,,yes,,,80,,,"Regime Travail"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,ASSERMENTATION,STRING,,yes,,,,,yes,,,80,,,"Assermentation"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,DD_PRODUCTION,DATE,,yes,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Début En Production"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,NUM_RECETTE,INTEGER,,yes,,,,,,,,10,,,"Num Recette"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,POINT_DE_VENTE,LOOKUP_TABLE,,yes,,Lkp_NewRef_PointDeVente,,1,,,,,,,"Point De Vente"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,TEL_COMPLEMENTAIRE,STRING,,yes,,,,,,,,10,,,"Tel. Complémentaire"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,GRADE_ACTUEL,STRING,,yes,,,,,,,,80,,,"Grade actuel"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,GRADES,GROUPING,,,,,0,50,,,,,,,"Liste de grades"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,GRADES/GRADE,STRING,,yes,,,,,,,,80,,,"Grade"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,GRADES/DD_GRADE,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Début Grade"
