CS?,Attribute Collection Name,Type,Description,Spec Name,Attribute Path

,HierAttColl_000_Generique_FULL,FULL_SPEC,,SpecHier_000_Generique,

,HierAttColl_000_Generique,GENERAL,,SpecHier_000_Generique,Clé
,HierAttColl_000_Generique,GENERAL,,SpecHier_000_Generique,Libellé

,CtgAttColl_HRA_Agent_FULL,FULL_SPEC,,SpecCtg_HRA_Agent

,CtgAttColl_HRA_Agent_General,GENERAL,,SpecCtg_HRA_Agent,ID_AGENT
,CtgAttColl_HRA_Agent_General,GENERAL,,SpecCtg_HRA_Agent,NOM

,CtgAttColl_HRA_Etablissement_FULL,FULL_SPEC,,SpecCtg_HRA_Etablissement

,CtgAttColl_HRA_Etablissement_General,GENERAL,,SpecCtg_HRA_Etablissement,ID_ETABLISSEMENT
,CtgAttColl_HRA_Etablissement_General,GENERAL,,SpecCtg_HRA_Etablissement,LIB_ETABLISSEMENT
