CS?,Spec Name,Spec Type,Attribute Path,Attribute Type,PK?,Idx?,Lcl?,Lnk?,Min,Max,Edit?,NP?,Default,Length,Hidden?,RULE,fr_FR DisplayName

,SpecHier_000_Generique,PRIMARY_SPEC,Clé,SEQUENCE,yes,yes,,,,,no,,,10,,,"Clé"
,SpecHier_000_Generique,PRIMARY_SPEC,Libellé,STRING,,yes,,,,,yes,,,100,,,"Libellé"

,SpecInutilisee,SCRIPT_INPUT_SPEC,INUTILISE,STRING_ENUMERATION,,,,,,1,,,,3000,,"STRING_ENUMERATION_RULE|res.add(""Inutilisé"");","Inutilisé"

,SpecCtg_HRA_Agent,PRIMARY_SPEC,ID_AGENT,STRING,yes,yes,,,,,yes,,,80,,,"Identifiant Agent"
,SpecCtg_HRA_Agent,PRIMARY_SPEC,NOM,STRING,,,,,,,,,,80,,,"Nom"
,SpecCtg_HRA_Agent,PRIMARY_SPEC,PRENOM,STRING,,,,,,,,,,80,,,"Prénom"
,SpecCtg_HRA_Agent,PRIMARY_SPEC,GRADES,GROUPING,,,,,0,50,,,,,,,"Liste de grades"
,SpecCtg_HRA_Agent,PRIMARY_SPEC,GRADES/GRADE,STRING,,,,,,,,,,80,,,"Grade"
,SpecCtg_HRA_Agent,PRIMARY_SPEC,GRADES/DD_GRADE,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Début Grade"
,SpecCtg_HRA_Agent,PRIMARY_SPEC,GRADES/DF_GRADE,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Fin Grade"
,SpecCtg_HRA_Agent,PRIMARY_SPEC,NIVEAUX,GROUPING,,,,,0,50,,,,,,,"Liste de Niveaux"
,SpecCtg_HRA_Agent,PRIMARY_SPEC,NIVEAUX/CODE_NIVEAU,INTEGER,,no,,,,,,,,10,,,"Code Niveau"
,SpecCtg_HRA_Agent,PRIMARY_SPEC,NIVEAUX/DD_NIVEAU,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Début Niveau"
,SpecCtg_HRA_Agent,PRIMARY_SPEC,NIVEAUX/DF_NIVEAU,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Fin Niveau"
,SpecCtg_HRA_Agent,PRIMARY_SPEC,QUALIFICATIONS,GROUPING,,,,,0,50,,,,,,,"Liste de Qualifications"
,SpecCtg_HRA_Agent,PRIMARY_SPEC,QUALIFICATIONS/CODE_QUALIFICATION,STRING,,,,,,,,,,80,,,"Code Qualification"
,SpecCtg_HRA_Agent,PRIMARY_SPEC,QUALIFICATIONS/DD_QUALIFICATION,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Début Qualification"
,SpecCtg_HRA_Agent,PRIMARY_SPEC,QUALIFICATIONS/DF_QUALIFICATION,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Fin Qualification"
,SpecCtg_HRA_Agent,PRIMARY_SPEC,POSITIONS,GROUPING,,,,,0,50,,,,,,,"Liste de Positions"
,SpecCtg_HRA_Agent,PRIMARY_SPEC,POSITIONS/CODE_POSITION,INTEGER,,no,,,,,,,,10,,,"Code Position"
,SpecCtg_HRA_Agent,PRIMARY_SPEC,POSITIONS/DD_POSITION,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Début Position"
,SpecCtg_HRA_Agent,PRIMARY_SPEC,POSITIONS/DF_POSITION,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Fin Position"
,SpecCtg_HRA_Agent,PRIMARY_SPEC,ECHELONS,GROUPING,,,,,0,50,,,,,,,"Liste d'Echelons"
,SpecCtg_HRA_Agent,PRIMARY_SPEC,ECHELONS/CODE_ECHELON,INTEGER,,no,,,,,,,,10,,,"Code Echelon"
,SpecCtg_HRA_Agent,PRIMARY_SPEC,ECHELONS/DD_ECHELON,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Début Echelon"
,SpecCtg_HRA_Agent,PRIMARY_SPEC,ECHELONS/DF_ECHELON,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Fin Echelon"
,SpecCtg_HRA_Agent,PRIMARY_SPEC,REGIME_TRAVAIL,STRING,,,,,,,yes,,,80,,,"Regime Travail"
,SpecCtg_HRA_Agent,PRIMARY_SPEC,ASSERMENTATION,STRING,,,,,,,yes,,,80,,,"Assermentation"
,SpecCtg_HRA_Agent,PRIMARY_SPEC,FAMILLES,GROUPING,,,,,0,50,,,,,,,"Liste de familles"
,SpecCtg_HRA_Agent,PRIMARY_SPEC,FAMILLES/FAMILLE,STRING,,,,,,,yes,,,80,,,"Famille"
,SpecCtg_HRA_Agent,PRIMARY_SPEC,FAMILLES/DD_FAMILLE,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Début Famille"
,SpecCtg_HRA_Agent,PRIMARY_SPEC,FAMILLES/DF_FAMILLE,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Fin Famille"
,SpecCtg_HRA_Agent,PRIMARY_SPEC,TYPOLOGIES_AGENT,GROUPING,,,,,0,50,,,,,,,"Liste de Typologies"
,SpecCtg_HRA_Agent,PRIMARY_SPEC,TYPOLOGIES_AGENT/TYPOLOGIE_AGENT,STRING,,,,,,,yes,,,80,,,"Typologie Agent"
,SpecCtg_HRA_Agent,PRIMARY_SPEC,TYPOLOGIES_AGENT/DD_TYPOLOGIE_AGENT,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Début Typologie"
,SpecCtg_HRA_Agent,PRIMARY_SPEC,TYPOLOGIES_AGENT/DF_TYPOLOGIE_AGENT,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Fin Typologie"
,SpecCtg_HRA_Agent,PRIMARY_SPEC,EQUIPES,GROUPING,,,,,0,50,,,,,,,"Liste d'Equipes"
,SpecCtg_HRA_Agent,PRIMARY_SPEC,EQUIPES/EQUIPE_TRAIN,STRING,,,,,,,yes,,,80,,,"Equipe"
,SpecCtg_HRA_Agent,PRIMARY_SPEC,EQUIPES/EQUIPE_TRACTION,STRING,,,,,,,yes,,,80,,,"Equipe"
,SpecCtg_HRA_Agent,PRIMARY_SPEC,EQUIPES/DD_EQUIPE,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Début Equipe"
,SpecCtg_HRA_Agent,PRIMARY_SPEC,EQUIPES/DF_EQUIPE,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Fin Equipe"
,SpecCtg_HRA_Agent,PRIMARY_SPEC,RESIDENCES,GROUPING,,,,,0,50,,,,,,,"Liste de Résidences opérationnelles"
,SpecCtg_HRA_Agent,PRIMARY_SPEC,RESIDENCES/RESIDENCE,STRING,,,,,,,yes,,,80,,,"Résidence opérationnelle"
,SpecCtg_HRA_Agent,PRIMARY_SPEC,RESIDENCES/DD_RESIDENCE,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Début Résidence"
,SpecCtg_HRA_Agent,PRIMARY_SPEC,RESIDENCES/DF_RESIDENCE,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Fin Résidence"
,SpecCtg_HRA_Agent,PRIMARY_SPEC,DD_PRODUCTION,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Début En Production"
